danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4
0.667,0.669,0,-4.531,0,0.165,0.0173,0.0,0.0737,0.939,172.019,audio_features,3mTUqLbtWm2DAEwvQTyu4d,spotify:track:3mTUqLbtWm2DAEwvQTyu4d,https://api.spotify.com/v1/tracks/3mTUqLbtWm2DAEwvQTyu4d,https://api.spotify.com/v1/audio-analysis/3mTUqLbtWm2DAEwvQTyu4d,174382,4
0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4
0.676,0.935,1,-4.487,1,0.113,0.178,0.0,0.839,0.593,102.075,audio_features,4lbPwb1Beo7JU2VwuJRTeR,spotify:track:4lbPwb1Beo7JU2VwuJRTeR,https://api.spotify.com/v1/tracks/4lbPwb1Beo7JU2VwuJRTeR,https://api.spotify.com/v1/audio-analysis/4lbPwb1Beo7JU2VwuJRTeR,178067,4
0.624,0.803,10,-4.105,0,0.246,0.123,0.0,0.114,0.821,166.018,audio_features,4Hf7WnR761jpxPr5D46Bcd,spotify:track:4Hf7WnR761jpxPr5D46Bcd,https://api.spotify.com/v1/tracks/4Hf7WnR761jpxPr5D46Bcd,https://api.spotify.com/v1/audio-analysis/4Hf7WnR761jpxPr5D46Bcd,187973,4
0.815,0.904,10,-2.79,0,0.0514,0.467,0.0,0.0485,0.898,102.985,audio_features,25SL3ZSbEGtu4oU14xllMQ,spotify:track:25SL3ZSbEGtu4oU14xllMQ,https://api.spotify.com/v1/tracks/25SL3ZSbEGtu4oU14xllMQ,https://api.spotify.com/v1/audio-analysis/25SL3ZSbEGtu4oU14xllMQ,172627,4
0.49,0.485,4,-6.237,0,0.0406,0.0592,0.0,0.337,0.196,133.889,audio_features,04DwTuZ2VBdJCCC5TROn7L,spotify:track:04DwTuZ2VBdJCCC5TROn7L,https://api.spotify.com/v1/tracks/04DwTuZ2VBdJCCC5TROn7L,https://api.spotify.com/v1/audio-analysis/04DwTuZ2VBdJCCC5TROn7L,195840,4
0.843,0.569,7,-10.713,1,0.278,0.288,8.83e-05,0.0643,0.947,95.075,audio_features,1OtZIaJBXo3Pe6nfaMsjKT,spotify:track:1OtZIaJBXo3Pe6nfaMsjKT,https://api.spotify.com/v1/tracks/1OtZIaJBXo3Pe6nfaMsjKT,https://api.spotify.com/v1/audio-analysis/1OtZIaJBXo3Pe6nfaMsjKT,154027,4
0.837,0.881,7,-3.317,1,0.0564,0.0357,2.47e-06,0.0858,0.718,128.0,audio_features,1Tn0msQvQMbD6woO9VnEG3,spotify:track:1Tn0msQvQMbD6woO9VnEG3,https://api.spotify.com/v1/tracks/1Tn0msQvQMbD6woO9VnEG3,https://api.spotify.com/v1/audio-analysis/1Tn0msQvQMbD6woO9VnEG3,158963,4
0.639,0.746,7,-7.173,1,0.0331,0.757,1.71e-06,0.204,0.845,165.042,audio_features,5OZqnhkGUxuSuW2P7CzH7y,spotify:track:5OZqnhkGUxuSuW2P7CzH7y,https://api.spotify.com/v1/tracks/5OZqnhkGUxuSuW2P7CzH7y,https://api.spotify.com/v1/audio-analysis/5OZqnhkGUxuSuW2P7CzH7y,166110,4
0.564,0.619,0,-6.258,1,0.0382,0.751,0.0,0.138,0.299,96.08,audio_features,5s2ydrmJOiPeZGx4S4X8Aw,spotify:track:5s2ydrmJOiPeZGx4S4X8Aw,https://api.spotify.com/v1/tracks/5s2ydrmJOiPeZGx4S4X8Aw,https://api.spotify.com/v1/audio-analysis/5s2ydrmJOiPeZGx4S4X8Aw,180000,4
0.56,0.678,7,-3.864,1,0.0281,0.537,0.0,0.887,0.347,95.034,audio_features,4rWCLK8mfQ6JpArmgIT8aK,spotify:track:4rWCLK8mfQ6JpArmgIT8aK,https://api.spotify.com/v1/tracks/4rWCLK8mfQ6JpArmgIT8aK,https://api.spotify.com/v1/audio-analysis/4rWCLK8mfQ6JpArmgIT8aK,188347,4
0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,audio_features,17Fd6Yb7mSbinKG8LoWfFl,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,https://api.spotify.com/v1/tracks/17Fd6Yb7mSbinKG8LoWfFl,https://api.spotify.com/v1/audio-analysis/17Fd6Yb7mSbinKG8LoWfFl,197933,4
0.63,0.928,9,-2.787,0,0.0331,0.199,0.124,0.148,0.465,123.963,audio_features,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4
0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,audio_features,14WWzenpaEgQZlqPq2nk4v,spotify:track:14WWzenpaEgQZlqPq2nk4v,https://api.spotify.com/v1/tracks/14WWzenpaEgQZlqPq2nk4v,https://api.spotify.com/v1/audio-analysis/14WWzenpaEgQZlqPq2nk4v,219320,4
0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
